"","OTU","estimate","statistic","p.value","parameter","conf.low","conf.high","method","alternative"
"1387","ASV1390",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1388","ASV1733",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1389","ASV174",-0.057340592716736,-0.22974036851557,0.821204792550794,16,-0.510543117354399,0.42079440240968,"Pearson's product-moment correlation","two.sided"
"1390","ASV1572",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1391","ASV402",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1392","ASV915",0.28892224784522,1.20717177036861,0.244910066958456,16,-0.205693670408537,0.665961359089072,"Pearson's product-moment correlation","two.sided"
"1393","ASV326",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1394","ASV132",0.132299194430837,0.533889760539675,0.600757398598961,16,-0.356596616496572,0.564313574158586,"Pearson's product-moment correlation","two.sided"
"1395","ASV42",0.461820037071952,2.08267759831098,0.0536852151808793,16,-0.0064381701646369,0.763970471878028,"Pearson's product-moment correlation","two.sided"
"1396","ASV1750",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1397","ASV1379",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1398","ASV435",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1399","ASV1133",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1400","ASV786",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1401","ASV595",0.560663945390758,2.7083793799513,0.0155035515868224,16,0.127050170964116,0.814367458979026,"Pearson's product-moment correlation","two.sided"
"1402","ASV1279",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1403","ASV364",-0.120443017699408,-0.485304973410933,0.634038183176906,16,-0.556045938439799,0.367067729768393,"Pearson's product-moment correlation","two.sided"
"1404","ASV1479",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1405","ASV1728",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1406","ASV1329",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1407","ASV1573",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1408","ASV1404",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1409","ASV1052",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1410","ASV1423",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1411","ASV1648",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1412","ASV819",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"1413","ASV69",-0.0389620077542807,-0.155966457486521,0.878010318450452,16,-0.496795278213684,0.435836008066827,"Pearson's product-moment correlation","two.sided"
